family,day1_auc,day1_slope,day2_slope,day2_auc,cumulative_mean_auc,cumulative_mean_slope,day1_vs_day2_perc_change_slope,day1_vs_day2_perc_change_auc,day1_vs_day2_ratio_slope,day1_vs_day2_ratio_auc
35,9.413738888906328,2.6946354817935756,1.5777381316355745,4.804906502593988,7.789806613602762,2.319357972140487,-70.79104749786079,-95.91929382651267,1.707910474978608,1.9591929382651267
36,21.15967655789598,6.5305948233772115,2.9931391254139776,9.182982614911936,17.103054415917516,5.332424345034826,-118.18547517312521,-130.42270082854668,2.1818547517312523,2.3042270082854666
37,7.539801232260349,2.308896224585935,1.3963833683100588,3.5645376070737504,6.095326363238165,2.0047252724939764,-65.34830455480318,-111.52256094304549,1.6534830455480318,2.115225609430455
38,11.366162878049874,2.9395814557424758,1.566504396170499,4.187829984026476,8.95424302565801,2.4782275637262914,-87.6522953225425,-171.4093676534987,1.8765229532254248,2.714093676534987
39,8.192292512978415,2.494285480216428,1.501830922642865,4.121524112597641,6.770475483538233,2.1634672943585738,-66.08297529438795,-98.76852079885376,1.6608297529438796,1.9876852079885374
42,8.618303227827232,2.5268139774207774,1.835931601624053,5.800961437283724,7.656284079836766,2.2909029222706767,-37.63116094224721,-48.56680777837952,1.376311609422472,1.4856680777837952
43,11.276856001991703,3.1912602610765624,1.692091628133716,4.638857473266065,9.02850166161689,2.6834773370152756,-88.59854915755047,-143.09554813832304,1.8859854915755048,2.43095548138323
48,10.235047361901287,2.946689675717087,2.276442573716894,6.08533687834778,8.840744639427308,2.721486649445022,-29.44274148351731,-68.19195989491692,1.294427414835173,1.681919598949169
52,8.137613215948434,2.4265306673482754,1.1071506987002095,2.8854683812438915,6.091166562027171,1.9867373444655867,-119.16895958219713,-182.02052979836864,2.191689595821971,2.8202052979836862
53,6.729687800666803,2.3176454384342953,1.306756636197504,3.2808506463621336,5.53209382679818,1.9806825043553646,-77.35861247878177,-105.1202119830966,1.7735861247878177,2.051202119830966
57,11.08019876097149,3.294256523882578,1.9923640909841824,6.219865585456335,9.460087702466438,2.8602923795831123,-65.34410245545483,-78.14209340600347,1.6534410245545483,1.7814209340600347
60,10.115149732106147,3.0499397978795812,1.3618870783408774,3.4950789732825904,7.908459479164962,2.4872555580333464,-123.94953637383641,-189.41119240593193,2.239495363738364,2.894111924059319
62,14.404280699309169,4.222280368149093,1.2083389022854472,3.1480787255759553,10.622196836134808,3.2095960356189086,-249.42848899121674,-357.55782986887795,3.4942848899121675,4.575578298688779
65,12.689288133654182,3.908421324092347,1.2006438336046237,3.043197553234744,9.422063904802437,2.9912708837658597,-225.52712259041212,-316.97221135598636,3.255271225904121,4.169722113559864
66,4.438053584829232,1.4423673792512834,1.2114810045323963,2.874609697667461,3.8859288919424166,1.3654052543449877,-19.058191903553947,-54.38804052008845,1.1905819190355396,1.5438804052008845
67,4.634109935835256,1.439959114454463,2.0902321458217172,5.776749162020436,5.014989677896982,1.656716791576881,31.110086631627095,19.779969566577794,0.688899133683729,0.8022003043342221
68,6.960188751160431,2.1788550382173897,1.8072366669009976,4.737834797618355,6.16396975659646,2.054982247778592,-20.562795018631046,-46.90653111542056,1.2056279501863105,1.4690653111542056
69,8.133965871057327,2.320545060853338,2.120736753943325,6.0659952090226295,7.302907706526835,2.25286805367414,-9.421645875589547,-34.0912017035354,1.0942164587558956,1.340912017035354
70,8.458419177559437,2.3566151496235754,1.6634613054014569,5.721198205816887,7.471614406493799,2.123715457964944,-41.66936988382991,-47.843491402894365,1.4166936988382992,1.4784349140289437
71,9.420151633435315,2.665921186284377,2.121959787163027,5.677156646560532,8.172486637810387,2.4846007199105937,-25.634858983289387,-65.93080339156137,1.2563485898328939,1.6593080339156137
72,12.247281706024737,3.4358612501771817,1.728897913052583,4.524431825443059,9.588595681562193,2.848218134117894,-98.73129721758666,-170.69214828594332,1.9873129721758667,2.7069214828594332
73,8.114576052738371,2.4797193676114637,1.9238453888223794,5.008566381027517,7.07923949550142,2.2944280413484357,-28.893900831050917,-62.01394641541419,1.2889390083105092,1.620139464154142
74,9.378558930754556,2.9643281790418383,1.3427977729414835,3.5521989160590772,7.436438925856064,2.4238180436750536,-120.75760317566582,-164.02122044334803,2.207576031756658,2.6402122044334804
76,9.854209223387894,3.2692495882141817,1.3630454329184654,4.474748303801623,8.061055583525803,2.6338482031156096,-139.84890813318484,-120.21817886418391,2.3984890813318485,2.2021817886418393
77,15.070942750521674,3.9108114507106975,2.5123877858858497,6.8876689509725635,12.27665413604149,3.433300931014408,-55.66113928275502,-118.8104982657972,1.5566113928275502,2.188104982657972
80,10.503117363136491,2.826164931431564,2.083229573522457,5.753286745684023,8.822917941984832,2.576538651174104,-35.66267334871332,-82.55855874063076,1.3566267334871331,1.8255855874063076
82,8.926170873083386,3.0185744805213406,1.5869158843644293,4.5162517347006625,7.3852220634309145,2.5413549484690368,-90.21641350135583,-97.6455564799249,1.9021641350135583,1.976455564799249
83,10.355891915612107,3.388708004501944,2.08976801422845,6.249406411979075,8.916761030399272,2.9592197819115142,-62.15713808563903,-65.71000880598163,1.6215713808563903,1.6571000880598163
84,10.41330543285715,3.110741448791618,1.779107432193253,5.290419249868753,8.705676705194351,2.6668634432588294,-74.84843200035142,-96.83327428380062,1.748484320003514,1.9683327428380062
85,11.65490739097452,3.413709080781612,1.632974408512502,4.315969712968494,9.189024331164495,2.815382230899191,-109.04853517522082,-170.04145455317283,2.0904853517522084,2.7004145455317285
86,8.213701660400446,2.661591881362044,2.343122361221105,6.380211549295443,7.602538290032112,2.5554353746483973,-13.591672607954203,-28.737136644120714,1.135916726079542,1.2873713664412072
87,10.949690508707732,3.385432898604301,2.5143357284239367,6.607809943036378,9.490818638642157,3.0927442494236983,-34.64522101534925,-65.70831490465359,1.3464522101534924,1.6570831490465359
88,8.72123461621217,2.914440516187967,1.7526979981602406,4.718618098951226,7.3870291104585215,2.527193010178725,-66.28309721624466,-84.82603239602241,1.6628309721624466,1.8482603239602242
89,10.774759882975406,2.7854949446325272,1.8963888079045272,5.79958418681481,9.089619727824235,2.4843460918698175,-46.884169165206416,-85.78504140816709,1.4688416916520641,1.857850414081671
91,7.956737160180116,2.5876523399494165,0.8677567953403863,2.2556018586822275,6.041155698876825,2.0097674369607823,-198.20018164587046,-252.75450450411574,2.9820018164587045,3.527545045041157
92,10.725611001454046,2.8537870084779584,1.6411774371686707,5.040844769009369,8.845970553629597,2.4528435211902098,-73.88656118751301,-112.77407841229463,1.73886561187513,2.1277407841229463
93,10.378900702313972,3.331890961234858,2.581554694676264,7.420895679940886,9.21142763311454,3.0777448064327535,-29.06528643789546,-39.86048517524302,1.2906528643789545,1.39860485175243
96,9.555180198102985,3.347110752976011,3.1616863772202106,9.13256491735546,9.416562386017796,3.2862915577281084,-5.864730198788017,-4.627563938192108,1.0586473019878802,1.046275639381921
